"","Constituency","Elected MP","Elected Party","Previous MP","Previous Party","Region"
"1","Ahanta West","Samuel Johnfiah","NPP","Samuel Johnfiah","NPP","Western"
"2","Amenfi Central","George Kofi Arthur","NDC","John Frank Abu","NDC","Western"
"3","Amenfi East","Joseph Boahen Aidoo","NPP","Joseph Boahen Aidoo","NPP","Western"
"4","Amenfi West","John Gyetuah","NDC","Mrs Agnes Sonful","NPP","Western"
"5","Aowin[2]","Samuel Adu Gyamfi","NPP","New constituency","—","Western"
"6","Bia","Michael Coffie Boampong","NDC","Michael Coffie Boampong","NDC","Western"
"7","Bibiani-Anhwiaso-Bekwai","Christopher Addae","NPP","Seidu Paakuna Adamu","NDC","Western"
"8","Effia-Kwesimintsim","Joe Baidoo-Ansah","NPP","Joe Baidoo-Ansah","NPP","Western"
"9","Ellembele","Frederick Worsemao Armah Blay","CPP","Frederick Worsemao Armah Blay","CPP","Western"
"10","Essikado-Ketan[2]","Joe Ghartey","NPP","New constituency","—","Western"
"11","Evalue Gwira","Kojo Armah","CPP","Edith Hazel","NDC","Western"
"12","Jomoro","Lee Ocran","NDC","Joseph Emmanuel Ackah","NDC","Western"
"13","Juabeso","Sampson Ahi","NDC","Anthony K Gyapong-Mensah","NDC","Western"
"14","Mpohor-Wassa East","Anthony Evans Amoah","NPP","Samuel Kwame Amponsah","NDC","Western"
"15","Prestea-Huni Valley","Albert Kwaku Obbin","NPP","Albert Kwaku Obbin","NPP","Western"
"16","Sefwi Akontombra[2]","Herod Cobbina","NDC","New constituency","—","Western"
"17","Sefwi-Wiawso","Paul Evans Aidoo","NDC","Isaac Kobina Nyame-Ofori","NDC","Western"
"18","Sekondi","Papa Owusu Ankomah","NPP","Papa Owusu Ankomah","NPP","Western"
"19","Shama","Angelina Baiden-Amissah","NPP","Angelina Baiden-Amissah","NPP","Western"
"20","Suaman","Stephen Michae Essuah Kofi Ackah","NDC","John Kwekuchur Ackah","NDC","Western"
"21","Takoradi","Gladys Asmah","NPP","Gladys Asmah","NPP","Western"
"22","Tarkwa-Nsuaem","Gifty Eugenia Kusi","NPP","Gifty Eugenia Kusi","NPP","Western"
"23","Adansi Asokwa","Kobina Tahir Hammond","NPP","Kobina Tahir Hammond","NPP","Ashanti"
"24","Afigya-Sekyere East","Hennric David Yeboah","NPP","Kwesi Akomia Kyeremateng","NPP","Ashanti"
"25","Afigya-Sekyere West","Albert Kan-Dapaah","NPP","Albert Kan-Dapaah","NPP","Ashanti"
"26","Ahafo Ano North","Kwame Owusu Frimpong","NPP","Kwame Owusu Frimpong","NPP","Ashanti"
"27","Ahafo Ano South","Stephen Kwaku Balado Manu","NPP","Stephen Kwaku Balado Manu","NPP","Ashanti"
"28","Akrofuom[2]","Kwabena Appiah-Pinkrah","NPP","New constituency","—","Ashanti"
"29","Amansie West","Kofi Krah Mensah","NPP","Stephen Cobbinah B. Karikari","NPP","Ashanti"
"30","Asante Akim North","Kwadwo Baah-Wiredu[3][4]","NPP","Kwadwo Baah-Wiredu","NPP","Ashanti"
"31","Asante Akim South","Gifty Ohene Konadu","NPP","Alex Kwaku Korankye","NPP","Ashanti"
"32","Asawase[2]","Dr. Gibrine","NDC","New constituency","—","Ashanti"
"33","Asokwa[5]","Maxwell Kofi Jumah","NPP","Constituency reconfiguration","(NPP)","Ashanti"
"34","Atwima / Kwanwoma","Dr. Matthew Kwaku Antwi","NPP","Dr. Matthew Kwaku Antwi","NPP","Ashanti"
"35","Atwima Mponua","Isaac Kwame Asiamah","NPP","Akwasi D. Afriyie","NPP","Ashanti"
"36","Atwima Nwabiagya","Benito Owusu Bio","NPP","James Edusei Sarkodie","NPP","Ashanti"
"37","Bantama[5]","Cecilia Abena Dapaah","NPP","Dr. Richard Winfred Anane","NPP","Ashanti"
"38","Bekwai","Ignatius Kofi Poku Edusei","NPP","Ignatius Kofi Poku Edusei","NPP","Ashanti"
"39","Bosome-Freho","Nana Yaw Edward Ofori-Kuragu","NPP","Gabriel Yaw Amoah","NPP","Ashanti"
"40","Bosomtwe","Simon Osei Mensah","NPP","Adu Gyamfi Poku","NPP","Ashanti"
"41","Effiduase-Asokore","Grace Coleman","NPP","Grace Coleman","NPP","Ashanti"
"42","Ejisu/Juabeng","Akwasi Osei-Adjei","NPP","Akwasi Osei-Adjei","NPP","Ashanti"
"43","Ejura Sekyedumasi","Alhaji Issifu Pangabu Mohammed","NDC","Sampson Atakora","NDC","Ashanti"
"44","Fomena","Akwasi Afrifa[6]","NPP","Akwasi Afrifa","NPP","Ashanti"
"45","Kumawu","Yaw Baah","NPP","Reo Addai Basoah","NPP","Ashanti"
"46","Kwabre East[5]","Kofi Frempong","NPP","Nana Asante Frimpong","NPP","Ashanti"
"47","Kwabre West[2]","Emmanuel Asamoa Owusu-Ansah","NPP","New constituency","—","Ashanti"
"48","Kwadaso[2]","Josephine Hilda Addoh","NPP","New constituency","—","Ashanti"
"49","Mampong","Peter Abum Sarkodie","NPP","Solomon Kwabena Sarfoh","NPP","Ashanti"
"50","Manhyia","Dr. Kwame Addo-Kufuor","NPP","Dr. Kwame Addo-Kufuor","NPP","Ashanti"
"51","New Edubease","Ernest Kofi Yakah","NDC","Augustine A Cudjoe","NDC","Ashanti"
"52","Nhyiaeso[2]","Dr. Richard Winfred Anane","NPP","New constituency","—","Ashanti"
"53","Nsuta/Kwamang","Kwame Osei Prempeh","NPP","Kwame Osei Prempeh","NPP","Ashanti"
"54","Obuasi","Edward Michael Ennin","NPP","Anthony Bright B. Mensah","NPP","Ashanti"
"55","Odotobri","Emmanuel Akwasi Gyamfi","NPP","Samuel Nkrumah Gyimah","NPP","Ashanti"
"56","Offinso North","Dr. Kofi Konadu Apraku","NPP","Dr. Kofi Konadu Apraku","NPP","Ashanti"
"57","Offinso South","Kwabena Sarfo[7]","NPP","Kwabena Sarfo","NPP","Ashanti"
"58","Oforikrom","Elizabeth Agyeman","NPP","New constituency","","Ashanti"
"59","Old Tafo[2]","Dr Anthony Akoto Osei","NPP","New constituency","—","Ashanti"
"60","Suame[2]","Osei Kyei Mensah Bonsu","NPP","Osei Kyei Mensah Bonsu","(NPP)","Ashanti"
"61","Subin","Sampson Kwaku Boafo","NPP","Sampson Kwaku Boafo","NPP","Ashanti"
"62","Asunafo North","Robert Sarfo-Mensah","NPP","Benjamin Osei Kuffour","NPP","Brong Ahafo"
"63","Asunafo South","Eric Opoku","NDC","George William Amponsah","NPP","Brong Ahafo"
"64","Asutifi North","Paul Okoh","NPP","Paul Okoh","NPP","Brong Ahafo"
"65","Asutifi South","Alhaji Collins Dauda","NDC","Cecilia Djan Amoah","NPP","Brong Ahafo"
"66","Atebubu-Amantin[2]","Emmanuel Owusu Manu","NDC","New constituency","—","Brong Ahafo"
"67","Berekum","Capt. Nkrabeah Effah Dartey","NPP","Capt. Nkrabeah Effah Dartey","NPP","Brong Ahafo"
"68","Dormaa East","Yaw Ntow Ababio","NPP","Stephen Adoma-Yeboah","NPP","Brong Ahafo"
"69","Dormaa West","Yaw Asiedu-Mensah","NPP","Yaw Asiedu-Mensah","NPP","Brong Ahafo"
"70","Jaman North[2]","Alexander Asum-Ahensah","NDC","New constituency","—","Brong Ahafo"
"71","Jaman South[5](formerly Jaman)","Anna Nyamekye","NPP","Anna Nyamekye","NPP","Brong Ahafo"
"72","Kintampo North[2]","Stephen Kunsu","NDC","New constituency","—","Brong Ahafo"
"73","Kintampo South[5](formerly Kintampo)","Yaw Effah-Baafi","NDC","Yaw Effah-Baafi","NDC","Brong Ahafo"
"74","Nkoranza North[2]","Eric Amoateng[8]","NPP","New constituency","—","Brong Ahafo"
"75","Nkoranza South","Kwame Ampofo Twumasi","NPP","Hayford Francis Amoako","NDC","Brong Ahafo"
"76","Pru[2]","Masoud Baba Abdul-Rahman","NDC","New constituency","—","Brong Ahafo"
"77","Sene","Felix Twumasi-Appiah","NDC","Felix Twumasi-Appiah","NDC","Brong Ahafo"
"78","Sunyani East","Joseph Henry Mensah","NPP","Joseph Henry Mensah","NPP","Brong Ahafo"
"79","Sunyani West","Kwadwo Adjei Darko","NPP","Kwadwo Adjei Darko","NPP","Brong Ahafo"
"80","Tain[2]","Joe Danquah","NPP","New constituency","—","Brong Ahafo"
"81","Tano North","Ernest Akobuor Debrah","NPP","Joe Donkor","NPP","Brong Ahafo"
"82","Tano South","Andrews Adjei-Yeboah","NPP","Andrews Adjei-Yeboah","NPP","Brong Ahafo"
"83","Techiman North","Alex Kyeremeh","NDC","Isaac Kwadwo Adjei Mensah","NDC","Brong Ahafo"
"84","Techiman South","Simons Addai","NDC","Prince Oduro-Mensah","NPP","Brong Ahafo"
"85","Wenchi[2]","Prof. George Yaw Djan-Baffuor","NPP","New constituency","—","Brong Ahafo"
"86","Abura/Asebu/Kwamankese","Andrew Kingsford Mensah","NPP","Harry Halifax-Hayford","NDC","Central"
