"","Constituency","Elected MP","Elected Party","Previous MP","Previous Party","Region"
"1","Ahanta West","Samuel Johnfiah","NPP","Samuel Johnfiah","NPP","Western"
"2","Amenfi Central","George Kofi Arthur","NDC","George Kofi Arthur","NDC","Western"
"3","Amenfi East","Joseph Baiden-Aidoo","NPP","Joseph Baiden-Aidoo","NPP","Western"
"4","Amenfi West","John Gyetuah","NDC","John Gyetuah","NDC","Western"
"5","Aowin","Mathias Kwame Ntow","NDC","Samuel Adu Gyamfi","NPP","Western"
"6","Bia","Michael Coffie Boampong","NDC","Michael Coffie Boampong","NDC","Western"
"7","Bibiani-Anhwiaso-Bekwai","Christopher Addae","NPP","Christopher Addae","NPP","Western"
"8","Effia-Kwesimintsim","Joe Baidoo-Ansah","NPP","Joe Baidoo-Ansah","NPP","Western"
"9","Ellembelle","Emmanuel Armah-Kofi Buah","NDC","Frederick Worsemao Armah Blay","CPP","Western"
"10","Essikado-Ketan","Joe Ghartey","NPP","Joe Ghartey","NPP","Western"
"11","Evalue Gwira","Catherine Afeku","NPP","Kojo Armah","CPP","Western"
"12","Jomoro","Samia Nkrumah","CPP","Lee Ocran","NDC","Western"
"13","Juabeso","Sampson Ahi","NDC","Sampson Ahi","NDC","Western"
"14","Mpohor-Wassa East","Anthony Evans Amoah","NPP","Anthony Evans Amoah","NPP","Western"
"15","Prestea-Huni Valley","Francis Adu-Blay Koffie","NDC","Albert Kwaku Obbin","NPP","Western"
"16","Sefwi-Akontombra","Herod Cobbina","NDC","Herod Cobbina","NDC","Western"
"17","Sefwi-Wiawso","Paul Evans Aidoo","NDC","Paul Evans Aidoo","NDC","Western"
"18","Sekondi","Papa Owusu-Ankomah","NPP","Papa Owusu-Ankomah","NPP","Western"
"19","Shama","Gabriel Kodwo Essilfie","NDC","Angelina Baiden-Amissah","NPP","Western"
"20","Suaman","Stephen Michael Essuah Kofi Ackah","NDC","Stephen Michael Essuah Kofi Ackah","NDC","Western"
"21","Takoradi","Kwabena Okyere Darko-Mensah","NPP","Gladys Asmah","NPP","Western"
"22","Tarkwa-Nsuaem","Gifty Eugenia Kusi ","NPP","Gifty Eugenia Kusi","NPP","Western"
"23","Adansi-Asokwa","Kobina Tahir Hammond","NPP","Kobina Tahir Hammond","NPP","Ashanti"
"24","Afigya Sekyere East","Hennric David Yeboah","NPP","Hennric David Yeboah","NPP","Ashanti"
"25","Afigya Sekyere West","Albert Kan-Dapaah","NPP","Albert Kan-Dapaah","NPP","Ashanti"
"26","Ahafo Ano North","Richard Akuoko Adiyiah","NPP","Kwame Owusu Frimpong","NPP","Ashanti"
"27","Ahafo Ano South","Stephen Kwaku Balado Manu","NPP","Stephen Kwaku Balado Manu","NPP","Ashanti"
"28","Akrofuom","Kwabena Appiah-Pinkrah","NPP","Kwabena Appiah-Pinkrah","NPP","Ashanti"
"29","Amansie West","Grace Addo","NPP","Kofi Krah Mensah","NPP","Ashanti"
"30","Asante-Akim North","Kwame Anyimadu Antwi","NPP","Kwadwo Baah-Wiredu","NPP","Ashanti"
