"","Constituency","Elected MP","Elected Party","Previous MP","Previous Party","Region"
"1","Ahanta West","Ebenezer Kojo Kum","NPP","George Kwame Aboagye","NDC","Western"
"2","Amenfi Central","Peter Yaw Kwakye Ackah","NDC","George Kofi Arthur","NDC","Western"
"3","Amenfi East","Patrick Bogyako-Saim","NPP","Akwasi Opong-Fosu","NDC","Western"
"4","Amenfi West","Eric Afful","NDC","Eric Afful","NDC","Western"
"5","Aowin","Mathias Kwame Ntow","NDC","Mathias Kwame Ntow","NDC","Western"
"6","Bia East","Richard Acheampong","NDC","Richard Acheampong","NDC","Western"
"7","Bia West","Augustine Tawiahh","NDC","Michael Coffie Boampong","NDC","Western"
"8","Bibiani-Anhwiaso-Bekwai","Kingsley Aboagye-Gyedu","NPP","Kingsley Aboagye-Gyedu","NPP","Western"
"9","Bodi","Ahi Sampson","NDC","Ahi Sampson","NDC","Western"
"10","Effia","Joseph Cudjoe","NPP","Joseph Cudjoe","NPP","Western"
"11","Ellembelle","Emmanuel Armah-Kofi Buah","NDC","Emmanuel Armah-Kofi Buah","NDC","Western"
"12","Essikado-Ketan","Joe Ghartey","NPP","Joe GharteySecond Deputy Speaker[4]","NPP","Western"
"13","Evalue-Ajomoro-Gwira","Catherine Abelema Afeku","NPP","Kweku Tanikyi Kessie","NDC","Western"
"14","Jomoro","Paul Essien","NPP","Francis Kabenlah Anaman","NDC","Western"
"15","Juabeso","Kwabena Mintah Akandoh","NDC","Kwabena Mintah Akandoh","NDC","Western"
"16","Kwesimintsim","Joseph Mensah","NPP","Joe Baidoo-Ansah","NPP","Western"
"17","Mpohor","Alex Kofi Agyekum","NPP","Alex Kofi Agyekum","NPP","Western"
"18","Prestea-Huni Valley","Barbara Oten-Gyasi","NPP","Francis Adu-Blay Koffie","NDC","Western"
"19","Sefwi-Akontombra","Djornobuah Alex Tetteh","NPP","Herod Cobbina","NDC","Western"
"20","Sefwi-Wiawso","Kwaku Afriyie","NPP","Paul Evans Aidoo","NDC","Western"
"21","Sekondi","Andrew Kofi Agyapa Mercer","NPP","Papa Owusu-Ankomah","NPP","Western"
"22","Shama","Ato Panford","NPP","Gabriel Kodwo Essilfie","NDC","Western"
"23","Suaman","Kofi Essuah Michael Stephen Ackah","NDC","Stephen Michael Essuah Kofi Ackah","NDC","Western"
"24","Takoradi","Kwabena Okyere Darko-Mensah","NPP","Kwabena Okyere Darko-Mensah","NPP","Western"
"25","Tarkwa-Nsuaem","George Mireku Duker","NPP","Gifty Eugenia Kusi","NPP","Western"
"26","Wassa East","Isaac Adjei Mensah","NDC","Isaac Adjei Mensah","NDC","Western"
"27","Adansi-Akrofuom","Kwabena Appiah-Pinkrah","NPP",NA,NA,"Ashanti"
"28","Adansi-Asokwa","Kobina Tahir Hammond","NPP","",NA,"Ashanti"
"29","Afigya Kwabre North","Nana Marfo Amaniampong","NPP",NA,NA,"Ashanti"
"30","Afigya Kwabre South","Owuraku William Aidoo","NPP","",NA,"Ashanti"
"31","Afigya Sekyere East","Mavis Nkansah Boadu","NPP","",NA,"Ashanti"
"32","Ahafo Ano North","Adamu Suleman Sanid","NPP","",NA,"Ashanti"
"33","Ahafo Ano South East","Francis Manu-Adabor","NPP","Francis Manu-Adabor","NPP","Ashanti"
"34","Ahafo Ano South West","Johnson Kweku Adu","NPP","Johnson Kweku Adu","NPP","Ashanti"
"35","Asante-Akim Central","Kwame Anyimadu - Antwi","NPP","Kwame Anyimadu - Antwi","NPP","Ashanti"
"36","Asante-Akim North","Kwame Andy Appiah-Kubi","NPP","Kwadwo Baah Agyemang","NPP","Ashanti"
"37","Asante-Akim South","Kwaku Asante - Boateng","NPP","Kwaku Asante - Boateng","NPP","Ashanti"
"38","Asawase","Alhaji Muntaka Mohammed Mabarak","NDC","Alhaji Muntaka Mohammed Mabarak","NDC","Ashanti"
"39","Asokwa","Patricia Appiagyei","NPP","Patricia Appiagyei","NPP","Ashanti"
"40","Atwima-Kwanwoma","Kojo Appiah-Kubi","NPP","Kojo Appiah-Kubi","NPP","Ashanti"
"41","Atwima-Mponua","Isaac Kwame Asiamah","NPP","Isaac Kwame Asiamah","NPP","Ashanti"
"42","Atwima-Nwabiagya North","Owusu Bio Benito","NPP","Owusu Bio Benito","NPP","Ashanti"
"43","Atwima-Nwabiagya South","Emmanuel Agyei Anwhere","NPP","Anthony Osei Boakye","NPP","Ashanti"
"44","Bantama","Daniel Okyem Aboagye","NPP","Henry Kwabena Kokofu","NPP","Ashanti"
"45","Bekwai","Joseph Osei-Owusu","NPP","Joseph Osei-Owusu","NPP","Ashanti"
"46","Bosome-Freho","Joyce Adwoa Akoh Dei","NPP","Kwadwo Kyei Frimpong","NPP","Ashanti"
"47","Bosomtwe","Yaw Osei Adutwum","NPP","Simon Osei Mensah","NPP","Ashanti"
"48","Effiduase-Asokore","Nana Ayew Afriyie","NPP","Frank Boakye Adjei","NPP","Ashanti"
"49","Ejisu","Kwabena Owusu Aduomi","NPP","Kwabena Owusu Aduomi","NPP","Ashanti"
"50","Ejura-Sekyedumase","Braimah Mohammed Bawah","NDC","Mohammed Salisu Bamba","NPP","Ashanti"
"51","Fomena","Andrew Amoako Asiamah","NPP","Atta Boafo Daniel Kingsley","NPP","Ashanti"
"52","Juaben","Ama Pomaa Boateng","NPP","Ama Pomaa Andoh","NPP","Ashanti"
"53","Kumawu","Philip Basoah","NPP","Philip Basoah","NPP","Ashanti"
"54","Kwabre East","Francisca Oteng Mensah","NPP","Kofi Frimpong","NPP","Ashanti"
"55","Kwadaso","Samiu Kwadwo Nuamah","NPP","Owusu Afriyie Akoto","NPP","Ashanti"
"56","Mampong","Sarpong Kwaku Ampratwum","NPP","Francis Addai-Nimoh","NPP","Ashanti"
"57","Manhyia North","Collins Owusu Amankwah","NPP","Collins Owusu Amankwah","NPP","Ashanti"
"58","Manhyia South","Mathew Opoku Prempeh","NPP","Mathew Opoku Prempeh","NPP","Ashanti"
"59","Manso-Adubia","Yaw Frimpong Addo","NPP","Yaw Frimpong Addo","NPP","Ashanti"
"60","Manso-Nkwanta","Joseph Albert Quarm","NPP","Grace Addo","NPP","Ashanti"
"61","New Edubease","George Oduro","NPP","Ernest Kofi Yakah","NDC","Ashanti"
"62","Nhyiaeso","Kennedy Kwasi Kankam","NPP","Richard Winfred Anane","NPP","Ashanti"
"63","Nsuta-Kwamang-Beposo","Kwame Asafu-Adjei","NPP","Kwame Asafu-Adjei","NPP","Ashanti"
"64","Obuasi East","Patrick Boakye-Yiadom","NPP","Edward Michael Ennin","NPP","Ashanti"
"65","Obuasi West","Agyeman Kwaku Kwarteng","NPP","Agyeman Kwaku Kwarteng","NPP","Ashanti"
"66","Odotobri","Emmanuel Akwasi Gyamfi","NPP","Emmanuel Akwasi Gyamfi","NPP","Ashanti"
"67","Offinso North","Augustine Collins Ntim","NPP","Augustine Collins Ntim","NPP","Ashanti"
"68","Offinso South","Ben Abdallah Banda","NPP","Ben Abdallah Banda","NPP","Ashanti"
"69","Oforikrom","Emmanuel Marfo","NPP","Elizabeth Agyeman","NPP","Ashanti"
"70","Old Tafo","Dr Anthony Akoto Osei","NPP","Dr Anthony Akoto Osei","NPP","Ashanti"
"71","Sekyere Afram Plain","Alex Adomako-Mensah","NDC","Alex Adomako-Mensah","NDC","Ashanti"
"72","Suame","Osei Kyei Mensah Bonsu","NPP","Osei Kyei Mensah Bonsu","NPP","Ashanti"
"73","Subin","Eugene Boakye Antwi","NPP",NA,NA,"Ashanti"
"74","Asunafo North","Evans Opoku Bobie","NPP","Robert Sarfo-Mensah","NPP","Brong Ahafo"
"75","Asunafo South","Eric Opoku","NDC","Eric Opoku","NDC","Brong Ahafo"
"76","Asutifi North","Benhazin Joseph Dahah","NPP","Benhazin Joseph Dahah","NPP","Brong Ahafo"
"77","Asutifi South","Collins Dauda","NDC","Collins Dauda","NDC","Brong Ahafo"
"78","Atebubu-Amantin","Kofi Amoakohene","NPP","Sanja Nanja","NDC","Brong Ahafo"
"79","Banda","Ahmed Ibrahim","NDC","Ahmed Ibrahim","NDC","Brong Ahafo"
"80","Berekum East","Kwabena Twum-Nuamah","NPP","Kwabena Twum-Nuamah","NPP","Brong Ahafo"
"81","Berekum West","Kwaku Agyenim-Boateng","NPP","Kwaku Agyenim-Boateng","NPP","Brong Ahafo"
"82","Dormaa Central","Kwaku Agyeman-Manu","NPP","Kwaku Agyeman-Manu","NPP","Brong Ahafo"
"83","Dormaa East","William Kwasi Sabi","NPP","William Kwasi Sabi","NPP","Brong Ahafo"
"84","Dormaa West","Ali Maiga Halidu","NPP","Vincent Oppong Asamoah","NDC","Brong Ahafo"
"85","Jaman North","Siaka Stevens","NPP","Siaka Stevens","NPP","Brong Ahafo"
"86","Jaman South","Yaw Afful","NPP","Yaw Afful","NPP","Brong Ahafo"
"87","Kintampo North","Kwasi Etu-Bonde","NDC","Stephen Kunsu","NDC","Brong Ahafo"
"88","Kintampo South","Felicia Adjei","NDC","Yaw Effah-Baafi","NDC","Brong Ahafo"
"89","Nkoranza North","Major Derek Oduro","NPP","Major Derek Oduro","NPP","Brong Ahafo"
"90","Nkoranza South","Charles Konadu-Yiadom","NPP","Emmanuel Kwadwo Agyekum","NDC","Brong Ahafo"
"91","Pru East","Kwabena Donkor","NDC","Kwabena Donkor","NDC","Brong Ahafo"
"92","Pru West","Masawud Mohammed","NDC","Masawud Mohammed","NDC","Brong Ahafo"
"93","Sene East","Dominic Napare","NDC","Dominic Napare","NDC","Brong Ahafo"
"94","Sene West","Kwame Twumasi Ampofo","NDC","Kwame Twumasi Ampofo","NDC","Brong Ahafo"
"95","Sunyani East","Kwasi Ameyaw Cheremeh","NPP","Kwasi Ameyaw Cheremeh","NPP","Brong Ahafo"
"96","Sunyani West","Ignatius Baffour Awuah","NPP","Ignatius Baffour Awuah","NPP","Brong Ahafo"
"97","Tain","Gabriel Osei","NPP","Kwasi Agyemang Gyan-Tutu","NDC","Brong Ahafo"
"98","Tano North","Freda Prempeh","NPP","Freda Prempeh","NPP","Brong Ahafo"
"99","Tano South","Benjamin Yeboah Sekyere","NPP","Hanna Louisa Bisiw","NDC","Brong Ahafo"
"100","Techiman North","Martin Oti Gyarko","NPP","Alex Kyeremeh","NDC","Brong Ahafo"
"101","Techiman South","Henry Yeboah Yiadom-Boachie","NPP","Adjei Mensah","NDC","Brong Ahafo"
"102","Wenchi","George Yaw Gyan-Baffour","NPP","George Yaw Gyan-Baffuor","NPP","Brong Ahafo"
"103","Abura-Asebu-Kwamankese","Elvis Morris Donkoh","NPP","Anthony Christian Dadzie","NDC","Central"
"104","Agona East","Queenstar Pokua Sawyerr","NDC","Queenstar Pokua Sawyerr","NDC","Central"
"105","Agona West","Cynthia Mamle Morrison","NPP","Charles Obeng-Inkoom","NDC","Central"
"106","Ajumako-Enyan-Essiam","Cassiel Ato Baah Forson","NDC","Cassiel Ato Baah Forson","NDC","Central"
"107","Asikuma-Odoben-Brakwa","Anthony Effah","NPP","Georgina Nkrumah Aboah","NDC","Central"
"108","Assin Central","Kennedy Agyapong","NPP","Ken Ohene Agyapong","NPP","Central"
"109","Assin North","Abena Durowaa Mensah","NPP","Ambre Samuel","NDC","Central"
